Path,Surface(micron2),Phase_PV(nm),Phase_StdDev(nm),Phase_avg(nm),Phase_median(nm),Surface_density(pg/micron2),Dry_mass(pg),Optical_volume(micron3),Phase_max(nm),Phase_min(nm),Circularity,Perimeter(micron),Ellipse_axis_ratio,Convexity,Solidity,Surface_Centroid_X,Surface_Centroid_Y,Mass_Centroid_X,Mass_Centroid_Y
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0000.tif,616.598,370.489,118.088,169.592,180.273,0.942,580.945,104.57,373.788,3.299,0.807,97.977,0.665,0.805,0.865,202.773,189.15,203.101,189.744
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0001.tif,567.861,387.476,126.08,182.281,193.375,1.013,575.057,103.51,390.333,2.857,0.805,94.133,0.734,0.793,0.866,201.914,187.999,201.968,188.324
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0002.tif,524.601,417.548,133.637,196.659,212.287,1.093,573.152,103.167,419.446,1.897,0.705,96.676,0.824,0.763,0.835,201.19,186.946,201.155,186.996
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0003.tif,489.554,427.586,137.08,209.359,232.844,1.163,569.403,102.493,432.29,4.705,0.797,87.878,0.832,0.769,0.851,200.534,186.23,200.388,186.037
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0004.tif,541.029,436.291,148.805,189.979,187.622,1.055,571.023,102.784,439.244,2.953,0.535,112.693,0.712,0.695,0.784,197.674,185.027,199.042,185.27
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0005.tif,483.531,439.903,147.418,211.079,223.243,1.173,567.017,102.063,443.64,3.737,0.865,83.821,0.892,0.794,0.87,199.548,185.454,198.758,184.957
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0006.tif,476.96,453.914,150.451,213.928,226.042,1.188,566.862,102.035,456.348,2.434,0.815,85.734,0.901,0.778,0.851,199.022,185.238,198.409,184.627
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0007.tif,498.864,470.748,155.586,204.243,203.521,1.135,566.053,101.89,475.414,4.666,0.384,127.78,0.6,0.689,0.673,200.07,183.574,198.523,185.11
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0008.tif,456.151,468.798,152.222,222.418,233.347,1.236,563.644,101.456,473.869,5.071,0.873,81.054,0.896,0.775,0.855,198.682,186.259,197.963,185.66
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0009.tif,445.746,479.849,154.153,228.237,246.519,1.268,565.198,101.736,484.497,4.648,0.855,80.925,0.968,0.795,0.857,197.789,186.264,197.255,186.158
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0010.tif,451.222,488.086,157.566,225.232,234.854,1.251,564.61,101.63,490.456,2.37,0.885,80.035,0.901,0.795,0.868,198.044,187.061,197.224,186.541
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0011.tif,449.58,485.421,158.987,225.207,227.737,1.251,562.493,101.249,488.995,3.574,0.895,79.455,0.882,0.794,0.871,196.95,187.272,196.114,186.805
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0012.tif,446.842,473.566,158.515,226.715,231.575,1.26,562.81,101.306,477.071,3.505,0.87,80.349,0.928,0.786,0.863,196.46,187.026,195.733,186.714
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0013.tif,449.032,472.013,159.843,225.429,226.826,1.252,562.359,101.225,476.858,4.846,0.867,80.661,0.881,0.787,0.869,196.34,187.424,195.491,186.788
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0014.tif,445.746,488.826,158.258,227.876,237.569,1.266,564.305,101.575,493.854,5.028,0.912,78.383,0.887,0.799,0.878,196.068,187.507,195.274,186.901
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0015.tif,447.937,485.92,156.492,226.547,232.445,1.259,563.771,101.479,490.997,5.076,0.822,82.753,0.824,0.766,0.858,195.496,187.538,194.623,186.974
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0016.tif,507.625,469.811,162.495,201.501,184.148,1.119,568.26,102.287,469.36,-0.45,0.453,118.7,0.781,0.642,0.756,193.292,188.888,194.324,187.134
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0017.tif,507.078,466.178,149.286,201.054,195.75,1.117,566.39,101.95,466.606,0.428,0.619,101.477,0.898,0.762,0.8,193.21,188.161,193.168,187.276
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0018.tif,151.685,464.878,135.169,269.606,319.231,1.498,227.196,40.895,470.665,5.787,0.908,45.829,0.776,0.779,0.81,193.563,198.199,192.622,196.508
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0018.tif,315.418,436.87,135.548,189.488,186.431,1.053,332.044,59.768,441.944,5.074,0.308,113.403,0.7,0.613,0.58,192.54,183.995,192.363,182.61
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0019.tif,223.968,500.84,147.832,232.956,247.565,1.294,289.86,52.175,502.87,2.03,0.862,57.136,0.856,0.803,0.835,190.636,200.883,191.177,198.619
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos1_0019.tif,298.442,435.313,133.551,160.055,136.372,0.889,265.372,47.767,436.505,1.192,0.317,108.758,0.466,0.667,0.532,192.993,183.358,192.012,181.008
